generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.9249,-21910.5,1,0
5000,5,32.7088,-19362.7,5.22872,0.335
10000,8,45.0108,-19186.1,3.9888,0.344866
15000,7,45.1961,-19152.2,1.65773,0.4006
20000,12,61.353,-18978.1,6.03753,0.3954
25000,16,88.9973,-18983.6,5.75053,0.3744
30000,10,60.3522,-18935.9,4.11612,0.3672
35000,12,75.3475,-18937.5,4.31348,0.3448
40000,14,81.3864,-18928.1,5.06037,0.3648
45000,13,70.5983,-18943.1,8.67086,0.3656
50000,12,67.4718,-18919.9,6.58211,0.3688
55000,17,92.5186,-18908.8,13.3276,0.3572
60000,17,91.4605,-18885.3,10.4539,0.3832
65000,17,78.4922,-18865.8,8.835,0.3796
70000,27,157.073,-18857.7,12.7447,0.3564
75000,24,131.887,-18840.1,17.2428,0.3864
80000,19,100.964,-18839.5,11.6705,0.3738
85000,22,123.911,-18850.9,11.1464,0.3576
90000,17,90.8399,-18846.7,7.86991,0.3726
95000,23,118.498,-18841.8,10.1461,0.3782
100000,20,109.32,-18838.1,12.3139,0.3624
105000,18,98.2531,-18842.4,10.0052,0.358
110000,24,130.98,-18820.7,16.0562,0.384
115000,27,141.703,-18835.1,12.5006,0.3678
120000,22,105.488,-18823,21.7021,0.3718
125000,23,128.579,-18804,8.23471,0.351
130000,29,151.99,-18795.2,14.6934,0.3816
135000,23,127.478,-18791.9,9.48231,0.3748
140000,20,100.964,-18789.1,11.0883,0.366
145000,24,127.359,-18756.2,12.5951,0.3538
150000,26,146.369,-18763.3,13.9942,0.356
155000,28,156.922,-18770.4,14.0806,0.3652
160000,27,148.074,-18764.5,13.7595,0.3934
165000,20,113.913,-18764,8.81452,0.332
170000,23,133.018,-18764.3,8.20521,0.3582
175000,22,125.244,-18770.2,10.556,0.3336
180000,22,112.139,-18780.5,12.3099,0.3302
185000,20,102.811,-18764.1,10.0045,0.346
190000,19,97.7527,-18766.3,12.7185,0.3312
195000,26,135.445,-18763.6,10.3783,0.3488
200000,22,121.945,-18751.6,8.71618,0.3714
205000,23,122.29,-18763.9,9.89307,0.3242
210000,27,147.404,-18761.6,12.282,0.3692
215000,27,134.521,-18751.7,15.6895,0.369
220000,32,178.715,-18755.1,13.4016,0.3866
225000,28,141.366,-18748.9,13.8337,0.3742
230000,30,167.189,-18738.5,12.7992,0.386
235000,28,143.059,-18728.9,12.9932,0.361
240000,33,170.106,-18725.6,15.1574,0.3688
245000,23,118.895,-18733.6,9.79544,0.3674
250000,32,162.809,-18725.9,17.915,0.3566
255000,29,154.987,-18718.4,17.0542,0.3778
260000,34,175.653,-18723.3,20.9525,0.3552
265000,34,178.101,-18699.9,22.6372,0.3778
270000,30,168.493,-18712.5,14.7643,0.3532
275000,31,171.816,-18721.7,14.5071,0.3778
280000,27,136.06,-18716.4,13.5771,0.3618
285000,31,163.696,-18735.9,16.1833,0.3414
290000,25,135.744,-18720.4,11.0229,0.3778
295000,23,117.304,-18717,11.9732,0.3568
300000,31,165.504,-18720.6,14.5898,0.3536
305000,31,170.445,-18718,16.4517,0.3612
310000,29,145.781,-18722.5,15.9512,0.3642
315000,37,185.808,-18725.7,20.4563,0.372
320000,29,144.023,-18706.7,15.9103,0.3732
325000,26,137.923,-18712.6,13.2534,0.3676
330000,26,128.601,-18715.2,14.6392,0.3644
335000,28,147.262,-18710.2,15.0836,0.3438
340000,25,109.874,-18710.4,13.4123,0.3522
345000,30,149.777,-18701.9,14.0436,0.3468
350000,33,163.79,-18703.8,15.4353,0.3568
355000,30,146.245,-18699,15.6359,0.361
360000,25,119.144,-18692,14.4542,0.3452
365000,26,131.155,-18706.7,14.8453,0.312
370000,25,119.679,-18690,11.7893,0.3336
375000,31,158.915,-18703.5,15.933,0.3308
380000,27,143.387,-18699.2,16.1435,0.3472
385000,28,134.096,-18695.5,20.3766,0.3528
390000,23,111.904,-18710.2,9.16105,0.3412
395000,25,128.687,-18697.3,11.7937,0.3198
400000,22,107.795,-18698.6,9.18465,0.3276
405000,27,137.949,-18702.7,10.4889,0.34
410000,28,144.942,-18707,10.2195,0.3442
415000,26,123.592,-18699.8,15.5736,0.3372
420000,28,124.896,-18700.1,17.7524,0.3544
425000,25,111.275,-18692.1,16.8247,0.3616
430000,24,112.172,-18701,17.9491,0.3288
435000,28,130.145,-18695.1,14.4382,0.3298
440000,26,117.248,-18695,12.9855,0.3344
445000,27,126.265,-18689.7,13.1723,0.329
450000,27,135.708,-18692.4,13.8347,0.3438
455000,26,122.879,-18689.6,17.3742,0.3604
460000,28,140.588,-18689,14.1783,0.3396
465000,28,139.715,-18694.1,16.1276,0.348
470000,23,101.682,-18689.3,13.4,0.315
475000,27,131.928,-18692.9,16.1828,0.339
480000,23,101.072,-18683.3,12.0793,0.3302
485000,37,188.6,-18684.9,16.1514,0.365
490000,30,142.347,-18686.4,16.5652,0.3768
495000,26,128.191,-18679.2,14.5751,0.3426
500000,23,111.958,-18688.8,10.726,0.3114
505000,26,122.408,-18691.7,18.9586,0.3296
510000,23,104.805,-18678.5,12.9437,0.3522
515000,23,102.237,-18694.7,13.5605,0.3342
520000,21,82.8749,-18678.7,10.5614,0.3294
525000,21,81.6134,-18697.4,10.0023,0.3254
530000,25,120.627,-18683.4,13.9371,0.3416
535000,27,120.936,-18690.2,24.2787,0.3652
540000,23,97.564,-18685.9,8.72864,0.3608
545000,24,106.286,-18697.2,15.5548,0.3234
