generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.96769,-29790.9,50,1
5000,0,2.12413,-28572.2,0.365909,0.1654
10000,0,2.23682,-28572.2,0.00549578,0.1698
15000,0,2.76176,-28571.8,1.02475,0.1686
20000,0,2.90705,-28569.6,0.014041,0.179
25000,1,10.6366,-28555.3,1.04624,0.3424
30000,1,10.2402,-28557.8,0.777276,0.3836
35000,1,9.77331,-28557.7,0.659296,0.3848
40000,1,9.39447,-28555.9,0.642127,0.3278
45000,1,9.92783,-28558.8,0.913878,0.328
50000,1,9.98067,-28556.2,1.34554,0.372
55000,1,10.7661,-28555.7,0.951086,0.368
60000,1,9.33002,-28555,1.21037,0.3574
65000,2,12.4787,-28559.7,4.10013,0.3174
70000,1,7.14237,-28556.8,5.30296,0.2856
75000,1,9.67279,-28556.5,0.964204,0.3014
80000,2,14.2672,-28491.9,6.2701,0.321
85000,5,33.1537,-28476,4.61046,0.3458
90000,3,17.3752,-28470.7,5.29335,0.3268
95000,2,13.9598,-28471.6,2.57218,0.311
100000,4,31.5712,-28453.9,3.97264,0.310187
105000,6,43.5354,-28451,9.76943,0.4024
110000,6,45.3116,-28401.9,9.68441,0.3558
115000,6,46.6458,-28401.6,10.1717,0.3562
120000,12,79.4626,-28400.4,13.1363,0.415
125000,13,85.7571,-28362.6,14.1315,0.3982
130000,8,57.6341,-28324.5,9.2039,0.368
135000,10,65.1274,-28309.1,7.93228,0.3916
140000,10,71.3706,-28304,16.516,0.3764
145000,13,90.0015,-28297.2,10.5776,0.374
150000,10,73.3336,-28287.8,10.7343,0.3496
155000,19,129.422,-28282.3,25.0082,0.3632
160000,15,102.386,-28277,11.92,0.3942
165000,19,124.237,-28255.6,12.7719,0.4018
170000,19,126.671,-28260.5,23.2335,0.412
175000,21,143.847,-28242.7,17.4662,0.4238
180000,22,146.529,-28235.4,22.87,0.4102
185000,17,114.202,-28222.8,23.9215,0.384
190000,23,152.22,-28220,26.8545,0.3664
195000,21,141.842,-28232,20.1322,0.4006
200000,20,131.648,-28225.6,24.753,0.3816
205000,19,131.528,-28207.4,16.0835,0.3964
210000,27,176.576,-28218.8,25.5711,0.3842
215000,23,157.194,-28217.9,23.478,0.3818
220000,23,161.585,-28201.5,22.7872,0.3608
225000,22,154.657,-28219.8,31.6932,0.3806
230000,23,157.208,-28214.4,16.4393,0.3786
235000,23,145.843,-28217.6,36.5652,0.3824
240000,22,138.629,-28217.4,22.3476,0.3908
245000,22,150.178,-28216.8,23.4703,0.3878
250000,27,186.652,-28213.7,15.5166,0.3976
255000,28,185.616,-28194.6,24.4089,0.3954
260000,30,196.844,-28199.4,30.7293,0.3634
265000,30,192.26,-28190.4,26.328,0.3874
270000,31,195.826,-28184.1,32.212,0.3944
275000,31,201.958,-28188.1,24.2495,0.4018
280000,30,196.323,-28180.2,24.5376,0.4064
285000,33,220.575,-28174.4,33.8287,0.3862
290000,29,194.211,-28163.3,33.989,0.396
295000,30,201.411,-28169.4,32.3941,0.382
300000,39,256.339,-28171,35.6071,0.4068
305000,46,303.098,-28152.9,40.7838,0.4206
310000,48,307.807,-28154,60.8331,0.42
315000,46,299.113,-28152.9,47.5388,0.406
320000,39,253.996,-28140.3,26.203,0.4028
325000,36,235.391,-28149.7,32.1658,0.3772
330000,40,261.16,-28160.5,35.8748,0.4032
335000,47,300.028,-28180.6,41.2732,0.4118
340000,34,226.528,-28161.9,25.2478,0.4154
345000,26,176.745,-28156,22.5384,0.395
350000,31,217.933,-28159.2,43.2059,0.3868
355000,35,233.146,-28163.9,33.2441,0.4038
360000,35,234.006,-28171.4,30.6644,0.4112
365000,32,210.371,-28141.6,34.557,0.3952
370000,36,238.542,-28149.3,42.5746,0.386
375000,35,226.865,-28151.7,40.5714,0.389
380000,35,229.84,-28120.3,25.7725,0.3772
385000,38,246.736,-28125.9,43.3122,0.3822
390000,35,232.226,-28146.5,36.1936,0.4042
395000,36,232.251,-28125.5,39.3168,0.3902
400000,46,292.666,-28126.4,71.7841,0.39
405000,48,292.282,-28129.2,55.4572,0.4212
410000,43,280.675,-28119.3,33.5302,0.4072
415000,52,345.318,-28127.4,41.6016,0.4112
420000,52,340.726,-28123.8,49.9996,0.4184
425000,47,299.788,-28122.4,47.6554,0.3964
430000,45,287.628,-28125.3,40.0818,0.4064
435000,35,235.698,-28119.3,31.1634,0.3826
440000,43,288.752,-28110.9,43.2818,0.3884
445000,48,291.308,-28118.1,45.2669,0.4074
450000,47,298.883,-28104.7,42.9266,0.3976
455000,42,265.626,-28109.8,40.626,0.3932
460000,39,246.757,-28126.3,41.5183,0.3882
465000,38,249.675,-28125.1,35.9982,0.386
470000,39,259.118,-28121.3,29.3072,0.3778
475000,32,213.193,-28121.1,33.1254,0.3522
480000,43,287.167,-28140.2,60.2433,0.398
485000,40,264.885,-28132.2,32.8572,0.389
490000,47,296.608,-28130.3,50.3918,0.386
495000,56,355.435,-28132.9,65.0208,0.4148
500000,43,279.101,-28122.7,56.1088,0.4012
505000,38,253.582,-28134,28.7323,0.4046
510000,34,215.282,-28135.6,39.0353,0.3844
515000,31,206.45,-28132.8,27.8723,0.3858
520000,30,198.287,-28136.8,38.7016,0.3774
525000,40,256.888,-28136.9,36.8805,0.3806
530000,39,247.023,-28136,36.5871,0.4006
535000,42,279.919,-28132.6,43.0894,0.3912
540000,43,275.553,-28113.3,46.9554,0.4056
545000,44,282.007,-28111.5,44.3654,0.4038
550000,40,251.941,-28108.6,38.2927,0.3866
555000,43,267.736,-28113.5,37.9467,0.3722
560000,38,245.358,-28097.9,42.1744,0.3728
565000,39,246.837,-28112.9,47.3826,0.3726
570000,44,276.638,-28109.6,51.5779,0.3746
575000,49,318.896,-28104.9,49.8593,0.3966
580000,50,305.16,-28106.3,57.0228,0.4028
585000,47,293.864,-28094.6,42.0826,0.3888
590000,46,275.951,-28104.1,41.5352,0.3832
595000,45,289.947,-28117.9,57.4917,0.3874
600000,45,270.272,-28109.8,45.808,0.3882
605000,53,327.065,-28119.1,60.467,0.3932
610000,51,331.989,-28109.8,40.4432,0.414
615000,49,306.874,-28107.2,61.0542,0.3998
620000,42,254.771,-28109.2,39.9305,0.3904
625000,39,250.541,-28104.4,43.41,0.3812
630000,49,308.047,-28125.9,56.9027,0.3896
635000,46,294.667,-28132.3,47.9682,0.3924
640000,46,289.572,-28116.7,38.9606,0.3984
645000,50,316.052,-28107.1,57.6989,0.3918
650000,55,330.929,-28123.7,65.128,0.392
655000,52,339.218,-28112.2,37.6867,0.396
660000,52,328.28,-28095.6,40.4488,0.3854
665000,54,339.23,-28106.4,52.4473,0.3862
670000,47,292.623,-28103.3,61.8711,0.3756
675000,42,268.487,-28111.1,30.2874,0.385
680000,37,250.469,-28131,36.924,0.3814
685000,41,268.415,-28121.5,40.443,0.3916
690000,37,249.556,-28113.6,33.648,0.3992
