"","lambda_ClaDS","tiplabel"
"Ansonia_kraensis",0.0642501462371811,"Ansonia_kraensis"
"Ansonia_glandulosa",0.0624159163275523,"Ansonia_glandulosa"
"Ansonia_thinthinae",0.0650730272511184,"Ansonia_thinthinae"
"Ansonia_inthanon",0.0642055754517714,"Ansonia_inthanon"
"Ansonia_siamensis",0.068267394801535,"Ansonia_siamensis"
"Ansonia_endauensis",0.0688347075651797,"Ansonia_endauensis"
"Ansonia_latirostra",0.0663691813794724,"Ansonia_latirostra"
"Ansonia_tiomanica",0.0657181859234365,"Ansonia_tiomanica"
"Ansonia_lumut",0.0688582599670987,"Ansonia_lumut"
"Ansonia_penangensis",0.0667918893653997,"Ansonia_penangensis"
"Ansonia_echinata",0.0643528075248589,"Ansonia_echinata"
"Ansonia_malayana",0.0658208898599815,"Ansonia_malayana"
"Ansonia_platysoma",0.0612548468689005,"Ansonia_platysoma"
"Ansonia_latiffi",0.0632774562184572,"Ansonia_latiffi"
"Ansonia_hanitschi",0.0676298892468182,"Ansonia_hanitschi"
"Ansonia_minuta",0.0688370589581684,"Ansonia_minuta"
"Ansonia_spinulifer",0.0701373376961308,"Ansonia_spinulifer"
"Ansonia_latidisca",0.0717868976980034,"Ansonia_latidisca"
"Ansonia_jeetsukumarani",0.0664229988411895,"Ansonia_jeetsukumarani"
"Ansonia_leptopus",0.0665704374583798,"Ansonia_leptopus"
"Ansonia_torrentis",0.0651117874362305,"Ansonia_torrentis"
"Ansonia_longidigita",0.0691444222272233,"Ansonia_longidigita"
"Ansonia_albomaculata",0.0679215547904967,"Ansonia_albomaculata"
"Ansonia_mcgregori",0.06544965821334,"Ansonia_mcgregori"
"Ansonia_muelleri",0.0691201972260562,"Ansonia_muelleri"
"Ansonia_fuliginea",0.0621697099194351,"Ansonia_fuliginea"
"Ansonia_guibei",0.0643816538835236,"Ansonia_guibei"
"Pelophryne_rhopophilia",0.0970024229846514,"Pelophryne_rhopophilia"
"Pelophryne_linanitensis",0.0993117392157161,"Pelophryne_linanitensis"
"Pelophryne_api",0.090695667297224,"Pelophryne_api"
"Pelophryne_signata",0.0963323321306579,"Pelophryne_signata"
"Pelophryne_macrotis",0.0949450692902395,"Pelophryne_macrotis"
"Pelophryne_saravacensis",0.100910327503423,"Pelophryne_saravacensis"
"Pelophryne_albotaeniata",0.089557868174285,"Pelophryne_albotaeniata"
"Pelophryne_guentheri",0.084802406654456,"Pelophryne_guentheri"
"Pelophryne_murudensis",0.0817781486675954,"Pelophryne_murudensis"
"Pelophryne_brevipes",0.0859824142640639,"Pelophryne_brevipes"
"Pelophryne_lighti",0.0808378992361258,"Pelophryne_lighti"
"Pelophryne_misera",0.0769409855254997,"Pelophryne_misera"
"Ghatophryne_rubigina",0.0753480179061854,"Ghatophryne_rubigina"
"Ghatophryne_ornata",0.070274288695386,"Ghatophryne_ornata"
"Barbarophryne_brongersmai",0.0724403185131465,"Barbarophryne_brongersmai"
"Ingerophrynus_claviger",0.0731201473484478,"Ingerophrynus_claviger"
"Ingerophrynus_parvus",0.0700693229240099,"Ingerophrynus_parvus"
"Ingerophrynus_ledongensis",0.0712360879417247,"Ingerophrynus_ledongensis"
"Ingerophrynus_biporcatus",0.0704972908794584,"Ingerophrynus_biporcatus"
"Ingerophrynus_divergens",0.0719365337138956,"Ingerophrynus_divergens"
"Ingerophrynus_gollum",0.0713179118073315,"Ingerophrynus_gollum"
"Ingerophrynus_philippinicus",0.0714790258042328,"Ingerophrynus_philippinicus"
"Ingerophrynus_kumquat",0.0683251915831155,"Ingerophrynus_kumquat"
"Ingerophrynus_galeatus",0.0674537844113247,"Ingerophrynus_galeatus"
"Ingerophrynus_macrotis",0.0673859072110415,"Ingerophrynus_macrotis"
"Ingerophrynus_quadriporcatus",0.0731354204745194,"Ingerophrynus_quadriporcatus"
"Ingerophrynus_celebensis",0.0718753342933339,"Ingerophrynus_celebensis"
"Phrynoidis_juxtaspera",0.0701994879248382,"Phrynoidis_juxtaspera"
"Phrynoidis_aspera",0.0702830670075852,"Phrynoidis_aspera"
"Pedostibes_hosii",0.0701881326533172,"Pedostibes_hosii"
"Pedostibes_rugosus",0.0655705430206962,"Pedostibes_rugosus"
"Bufo_tibetanus",0.107611994184419,"Bufo_tibetanus"
"Bufo_tuberculatus",0.107594883690568,"Bufo_tuberculatus"
"Bufo_taxkorensis",0.111832500598956,"Bufo_taxkorensis"
"Bufo_bankorensis",0.103087035059135,"Bufo_bankorensis"
"Bufo_gargarizans",0.0992133596895298,"Bufo_gargarizans"
"Bufo_stejnegeri",0.0957386881624236,"Bufo_stejnegeri"
"Bufo_luchunnicus",0.104581273717606,"Bufo_luchunnicus"
"Bufo_torrenticola",0.0968103585343388,"Bufo_torrenticola"
"Bufo_japonicus",0.0974436278087937,"Bufo_japonicus"
"Bufo_aspinius",0.0905620589878408,"Bufo_aspinius"
"Bufo_pageoti",0.0912337664310203,"Bufo_pageoti"
"Bufo_tihamicus",0.0943829206334586,"Bufo_tihamicus"
"Bufo_cryptotympanicus",0.0903650542666052,"Bufo_cryptotympanicus"
