,tiplabel,Genus,Family,lambda_ClaDS,Order,BodyLength_mm,BodyMass_g,Nocturnality,Verticality,Longitude,Latitude,TempSeasonality,RangeSize,AnnuMeanTemp,AnnuPrecip,PrecipSeasonality,Elevation,Afrotropic,Australasia,IndoMalay,Nearctic,Neotropic,Oceania,Palearctic,lambda_BAMM
1,Acanthixalus_sonjae,Acanthixalus,Hyperoliidae,0.039578741,Anura,38.5,3.1,1,0.75,-7.262722068,5.714384228,862.2673375,4,252.1142343,1828.329588,50.28318999,190.7122899,1,0,0,0,0,0,0,0.040922933
2,Acanthixalus_spinosus,Acanthixalus,Hyperoliidae,0.040094919,Anura,38.3,3.11,1,0.75,16.65611472,0.544747013,689.6255606,141,235.7992057,1781.667998,50.15944117,458.9587267,1,0,0,0,0,0,0,0.04092673
3,Acris_blanchardi,Acris,Hylidae,0.05345853,Anura,38,3.8,0,0.5,-96.91416803,35.72035568,8800.557004,90,154.695902,890.3829518,38.69523997,371.7574705,0,0,0,1,0,0,0,0.068385392
4,Acris_crepitans,Acris,Hylidae,0.054622088,Anura,38,2,0.5,0.75,-91.60617659,35.84524669,8190.127741,348,150.3918306,986.5704403,31.31185352,326.0992349,0,0,0,1,0,0,0,0.06841626
5,Acris_gryllus,Acris,Hylidae,0.055057612,Anura,32,0.9,0.5,0.75,-84.20974942,32.08886057,6311.058537,89,185.2315454,1342.1978,26.09030852,77.52883709,0,0,0,0.95505618,0.04494382,0,0,0.068272976
6,Adelastes_hylonomos,Adelastes,Microhylidae,0.040973201,Anura,29,2.4,0.5,0.5,-66.1869598,0.86306925,349.2709722,1,244.6861806,2945.582083,22.20034722,152.5440278,0,0,0,0,1,0,0,0.038439673
7,Adelophryne_adiastola,Adelophryne,Eleutherodactylidae,0.035597894,Anura,17,0.55,1,0.5,-71.50195697,-2.26730254,430.1087644,32,246.1496589,3206.213509,21.6913416,140.628735,0,0,0,0,1,0,0,0.050150716
8,Adelophryne_baturitensis,Adelophryne,Eleutherodactylidae,0.033432199,Anura,17,0.55,0,0.5,-39.32573535,-4.244575388,701.8417958,3,269.8282504,856.4273741,105.8400206,211.5090758,0,0,0,0,1,0,0,0.049964369
9,Adelophryne_gutturosa,Adelophryne,Eleutherodactylidae,0.037142613,Anura,16,0.52,0,0.5,-55.59024138,2.574956875,810.0971051,42,250.2651228,2210.800937,57.36429046,273.0313726,0,0,0,0,1,0,0,0.050039114
10,Adelophryne_maranguapensis,Adelophryne,Eleutherodactylidae,0.032611576,Anura,21.7,0.81,0,0.75,-38.68737897,-3.820740972,397.4584847,1,270.4308976,1204.720899,94.50248957,57.05600694,0,0,0,0,1,0,0,0.049909848
11,Adelophryne_meridionalis,Adelophryne,Eleutherodactylidae,0.033748852,Anura,98,49,1,0.5,-43.37722,-21.79219445,2031.496599,2,211.3138558,1451.2829,72.40574776,715.4095273,0,0,0,0,1,0,0,0.050020212
12,Adelophryne_mucronatus,Adelophryne,Eleutherodactylidae,0.034540117,Anura,14.9,0.5,1,0.5,-39.08382528,-15.2509279,1330.771255,2,238.8650474,1334.671493,23.61895496,216.2801083,0,0,0,0,1,0,0,0.050024854
13,Adelophryne_pachydactyla,Adelophryne,Eleutherodactylidae,0.03540484,Anura,14,0.414969878,1,0.5,-39.40136139,-13.78948734,1300.750869,3,238.9467789,1346.266812,21.50245145,262.1981147,0,0,0,0,1,0,0,0.050033735
14,Adelophryne_patamona,Adelophryne,Eleutherodactylidae,0.036910862,Anura,23,0.88,0.5,0.5,-60.19064416,5.279668908,518.9253449,2,220.3745579,2141.276008,44.99493002,801.5227073,0,0,0,0,1,0,0,0.049954854
15,Adelotus_brevis,Adelotus,Myobatrachidae,0.053277118,Anura,45,5.42,1,0.25,150.6635372,-27.53245022,4295.984806,59,191.1577216,828.4041776,42.01464759,347.2841141,0,1,0,0,0,0,0,0.050896948
16,Adelphobates_castaneoticus,Adelphobates,Dendrobatidae,0.045307351,Anura,22.7,0.9,0,0.5,-51.28778252,-6.453076598,656.6173582,12,254.0510835,1981.024826,62.6985104,191.9243742,0,0,0,0,1,0,0,0.050138048
17,Adelphobates_galactonotus,Adelphobates,Dendrobatidae,0.041705444,Anura,40.5,4.1,0,0.5,-50.70900582,-4.819667087,662.8324098,66,257.6388001,2002.206171,68.95296095,170.3522311,0,0,0,0,1,0,0,0.050092108
